x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,block_entity_count
0,0,22,true,minecraft:full,ENTITY_TICKING,done,done,done,Ticket[start 22 (INSTANCE)] at 0,false,7
-1,-1,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[unknown 33 ([-1, -1])] at 20529",false,4
-1,0,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[unknown 33 ([-1, 0])] at 20529",false,3
-1,1,23,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-1,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[unknown 33 ([0, -1])] at 20529",false,3
0,1,23,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-1,23,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,0,23,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,1,23,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-1,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,0,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,1,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-1,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,0,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,1,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,2,24,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-2,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-1,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,0,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,1,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,2,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-2,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-1,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,0,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,1,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,2,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,3,25,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
